oid,mode,shell_thickness,phase_days,mjd,template_tag,tdust,tau,scale,chi2,dof,chi2_red,npz_path,folder,n_ul_active,tstar_dummy
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,700.0,2.0,1.1389268637387182e-12,20.264675680948415,3,6.754891893649472,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_700_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td700_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,1000.0,4.0,6.545095854805877e-13,21.73109618349222,3,7.24369872783074,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_1000_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td1000_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,900.0,1.5,9.896840552735204e-13,23.558569791508745,3,7.852856597169581,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_900_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td900_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,1200.0,4.0,5.437343378378941e-13,26.42264570725011,3,8.80754856908337,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_1200_tau_4_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td1200_tau4_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,600.0,2.0,1.2099156459011521e-12,30.27661727277312,3,10.09220575759104,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_600_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td600_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,800.0,1.5,1.038106744580491e-12,31.84470789877448,3,10.614902632924826,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_800_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td800_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,500.0,2.0,1.2575548532257057e-12,39.75762751928974,3,13.252542506429911,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_500_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td500_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,700.0,1.5,1.082314251540273e-12,41.9925981894753,3,13.9975327298251,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_700_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td700_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,1000.0,1.0,9.465667394726121e-13,44.30905081391833,3,14.769683604639445,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_1000_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td1000_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,400.0,2.0,1.2802641107144537e-12,45.899928968472,3,15.299976322824,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_400_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td400_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,300.0,2.0,1.2863604872965358e-12,48.20765127344963,3,16.069217091149877,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_300_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td300_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,200.0,2.0,1.2868301482494453e-12,48.54534085096232,3,16.181780283654106,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_200_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td200_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,50.0,2.0,1.2868266387956005e-12,48.55203996826149,3,16.18401332275383,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_50_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td50_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,100.0,2.0,1.2868266387956005e-12,48.55203996826149,3,16.18401332275383,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_100_tau_2_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td100_tau2_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,900.0,1.0,9.674053937525789e-13,51.41746374215811,3,17.13915458071937,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_900_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td900_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,600.0,1.5,1.1162942674089877e-12,52.52853598158239,3,17.509511993860794,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_600_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td600_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,800.0,1.0,9.872685180860309e-13,59.82041733477375,3,19.94013911159125,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_800_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td800_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,500.0,1.5,1.1371398483622012e-12,61.19475445640509,3,20.398251485468364,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_500_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td500_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,400.0,1.5,1.1464343383898225e-12,66.31683616437809,3,22.105612054792697,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_400_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td400_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,300.0,1.5,1.1487459803531438e-12,68.1169145915022,3,22.7056381971674,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_300_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td300_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,200.0,1.5,1.1489047051954552e-12,68.37747105871489,3,22.792490352904963,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_200_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td200_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,50.0,1.5,1.1489021829097304e-12,68.38090124359157,3,22.79363374786385,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_50_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td50_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,100.0,1.5,1.1489021829097304e-12,68.38090124359157,3,22.79363374786385,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_100_tau_1_5_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td100_tau1_500_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,700.0,1.0,1.0037486701790249e-12,68.74447014952261,3,22.914823383174205,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_700_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td700_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,600.0,1.0,1.0152681149561358e-12,76.92326810367567,3,25.64108936789189,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_600_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td600_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,500.0,1.0,1.0217663219944585e-12,83.05153444919209,3,27.683844816397364,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_500_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td500_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,400.0,1.0,1.0244457938534714e-12,86.46787518062636,3,28.82262506020879,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_400_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td400_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,300.0,1.0,1.0250033285966153e-12,87.60677458118015,3,29.20225819372672,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_300_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td300_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,200.0,1.0,1.0250113621921e-12,87.76547729291802,3,29.25515909763934,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_200_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td200_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,50.0,1.0,1.0250106460191784e-12,87.76629082928353,3,29.255430276427845,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_50_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td50_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,100.0,1.0,1.0250106460191784e-12,87.76629082928353,3,29.255430276427845,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_100_tau_1_0_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td100_tau1_000_thick5_0,0,6000.0
ZTF18abjndhh,template,5.0,107.67239117497957,58434.359144675,nugent_iip,1200.0,0.3,8.844366066781734e-13,90.81375435057846,3,30.27125145019282,/home/cal/analam/Documents/LL_typeIIP/dusty_runs/dusty_npz_cache/Tstar_6000_Tdust_1200_tau_0_3_thick_5_0_nugent_iip_phase_107_67.npz,TEMPLATE_ZTF18abjndhh_phase107_7_Td1200_tau0_300_thick5_0,0,6000.0
