oid,M_Ni_fid,M_Ni_err_hi,M_Ni_err_lo,M_Ni_stat_hi,M_Ni_stat_lo,M_Ni_sys,Das_M_Ni_mean,Das_M_Ni_hi,Das_M_Ni_lo,Das_Ek_mean,Das_Ek_hi,Das_Ek_lo,in_sample
ZTF18abjndhh,0.12501763412278585,0.06469453506481625,0.07555671620762656,0.03635567300097897,0.05334012988530485,0.05351306296502405,,,,,,,True
ZTF19aadnxnl,0.09744502684981261,0.05490662754758954,0.05490674193813685,0.001188651563847309,0.0011939238466809367,0.05489375971920198,0.113,0.0022999999999999,0.0055,4.922e+51,7.799999999999988e+49,4.929999999999998e+50,True
ZTF19aarykkb,0.26438654512034593,0.620479225300492,0.6208877465338039,0.06412345438414346,0.06796279988700894,0.6171569100539533,0.008045,0.002515,0.0002269999999999,3.374e+51,1.4999999999999987e+50,2.940000000000005e+50,True
ZTF19acbwejj,0.158699278865117,0.048788475198053724,0.04886049974612636,0.014880673452250233,0.015115143587892753,0.04646375867015709,0.09131,0.00325,0.00013,6.356e+51,3.2699999999999956e+50,3.880000000000001e+50,True
ZTF19aclobbu,0.13393820926357436,0.06457683983231817,0.056703081251872414,0.04330016727626419,0.030331100653949734,0.04790891103517607,0.218,0.0229999999999999,0.213359,6.14e+51,2.0509999999999997e+51,6.0085e+51,True
ZTF21aagtqna,0.19182070256765898,0.05118270286817894,0.043006729251010484,0.03822304289909098,0.026285180167599707,0.03403921362820451,0.08186,0.0016,0.00109,8.42e+51,4.679999999999993e+50,5.140000000000004e+50,True
ZTF21abnlhxs,0.11889832619858817,18.965887563592474,0.4522639084341684,18.96086591466751,0.11869204708295655,0.4364113206957481,0.01801,0.0012699999999999,0.00147,4.502e+51,2.2300000000000017e+50,5.3799999999999995e+50,True
ZTF21abouuat,0.16103509781287226,0.15047945203064905,0.1504027247965002,0.007725945780580067,0.006050155450220651,0.1502809876372921,0.1376,0.0075,0.0072,9.826e+51,1.0400000000000072e+50,7.919999999999999e+50,True
ZTF21acpqqgu,0.04516174603832585,133.4047593708032,0.045123486627426206,133.40475932273662,0.04498115635297903,0.0035811476602293398,0.01887,0.0015999999999999,0.00063,3.494e+51,4.799999999999977e+49,1.5199999999999983e+50,True
ZTF22aativsd,0.17553309036724474,0.06069660530094084,0.060481132800847104,0.017589409116722785,0.01683083013077352,0.058092087085787766,0.2074,0.0091999999999999,0.0078,6.39e+51,3.539999999999994e+50,4.269999999999997e+50,True
ZTF22aaywnyg,0.028532692083542806,0.048150345397308905,0.0481513937011772,0.0005819354590366747,0.0006630251609891484,0.04814682869101206,0.01904,0.0001099999999999,0.00035,7.798000000000001e+50,1.5500000000000044e+49,4.92999999999999e+49,True
ZTF22abtspsw,0.013405552736486975,0.003793342090064091,0.0034235961786088353,0.002677653839438705,0.002121649515305026,0.0026869339642780522,0.005815,3.0000000000000512e-05,1.7999999999999787e-05,1.1180000000000001e+51,4.54e+50,4.2600000000000004e+50,True
ZTF23aaxadel,0.1456722440143089,0.04092692970272397,0.03869399185417277,0.02452763069083741,0.020586794262953827,0.03276291970483706,0.09866,0.0126399999999999,0.0059999999999999,4.518e+51,3.3399999999999972e+50,1.2050000000000003e+51,True
