oid,meanra,meandec
ZTF22aapargp,239.31999890000003,19.474493495918367
ZTF22aarycqo,26.148422726666666,37.697404807999995
ZTF22aasojye,355.4212815054054,50.04971344324324
ZTF22aativsd,335.62312307499997,36.004988087499996
ZTF22aavbfhz,20.06265289166667,17.832322489583333
ZTF22aavobvq,235.03233742424243,20.675472906060605
ZTF22aaywnyg,179.78190215368423,52.69957683894737
ZTF22aazmrpx,30.82303096666666,29.234710719047616
ZTF22abfavpu,50.140044464285715,37.498562190178575
ZTF22abfwxtr,1.4826785014285713,22.49063429571429
ZTF22abfxkdm,347.2430801338709,12.04418211451613
ZTF22abhsxph,68.29303983469387,76.56815719387755
ZTF22abkbjsb,133.50459402708336,18.68834370625
ZTF22abkhrkd,27.865756499999993,36.064327119811324
ZTF22abnujbv,103.52138674166667,8.570356460416667
ZTF22absqhkw,71.99417105806452,-16.660305409677424
ZTF22abssiet,159.6799511695652,56.554045917391306
ZTF22abtspsw,137.67460715384615,7.205662426923076
ZTF22abyivoq,49.91241340000963,-19.395245999991687
ZTF22abyohff,173.58763116190477,15.663684004761903
ZTF22abyokkf,218.57994594181818,25.882071907272728
ZTF22abzqwmp,153.9164387882353,45.94033828235295
ZTF23aaaatjn,66.706208512,29.94996353333333
ZTF23aackjhs,147.7334626025641,33.553066335897434
ZTF23aailjjs,252.1780309679245,35.94928812075472
ZTF23aanymcl,259.27621596578945,-14.901443786842103
ZTF23aaphnyz,252.15089623815786,41.60074397105263
ZTF23aaqknaw,13.781612596491229,31.5465697
ZTF23aasbvab,334.6257939579311,29.244738570344822
ZTF23aasrcyv,11.287707045945947,-9.62732858918919
ZTF23aaxadel,3.7287851333236928,26.333456999999633
ZTF23abascqa,48.83588009365027,41.614846380333034
ZTF23abaxtlq,41.9868932832931,41.24674555664094
ZTF23abbtkrv,132.31821513013958,36.120770873983716
ZTF23abhzfww,131.47720736391713,12.786722524142306
ZTF23abmoxlu,146.29019268383522,68.58664523538921
ZTF23abnogui,185.8804292640088,74.95039338233671
ZTF24aaabbse,129.031112440037,25.113072074481327
ZTF24aabppgn,171.1635741229122,14.948063932736217
ZTF24aabpzuz,117.78021223713918,72.9659916758989
ZTF24aabsmvc,127.19454342292622,73.75239116060533
ZTF24aadkwni,155.4718257651192,0.2956469093881386
ZTF24aaemydm,148.61882504674907,-18.636362219182736
ZTF24aafqzur,216.4883452425324,-2.3922646420502174
ZTF24aagupsf,247.6728668227179,44.51114274874282
ZTF24aajxppf,269.5901442399928,9.681528220000043
ZTF24aaplfjd,14.505587399995347,30.706595399986924
ZTF24aarvbxj,305.6699202500019,-8.178296450002193
