Target,ZAMS_16,ZAMS_50,ZAMS_84,Ni_mass_16,Ni_mass_50,Ni_mass_84,Radius_16,Radius_50,Radius_84,Beta_16,Beta_50,Beta_84,Energy_16,Energy_50,Energy_84,Mrate_16,Mrate_50,Mrate_84,peakr,peakrhost,volumefac
ZTF20aciojzg,9.904820087569576,10.42994568657,10.911794425165665,0.0029776612632858223,0.00831482297252054,0.0281040464027631,3417.273318839721,6295.5501786904215,11128.747676712208,0.8680268070234385,1.5212998370120143,3.1893947718351368,3.484586468084747,3.5279697989875967,3.582385887154667,3.268123168838532,3.592064623770246,4.442468398440204,-16.15,-16.15,63095734448.01917
ZTF22abssiet,9.395568039451156,10.528811214448904,11.156355773147071,0.008344010545697679,0.012166808803586438,0.026395498020603446,9507.289720694362,12319.96803286373,13791.90216246008,0.5923387911705807,0.753228478442601,1.5051886505551209,2.5065628636670776,2.8239221291172965,5.0690455685248175,2.9732493707397376,3.186048588245526,3.5528957875709923,-15.66,-15.9,63095734448.01917
ZTF18aaqfqaa,9.64916199659016,9.997563969417827,10.744685171634039,0.032659651064308536,0.033812953447927376,0.043251487592584376,6197.128056962182,8199.991001464385,8719.16670346498,1.8983605839375113,2.00443318508825,2.1764208604085282,43.14630901351184,43.96369584395716,47.0831123576986,3.748471635087589,4.394898586871122,4.524689323166415,-18.5,-18.5,63095734448.01917
ZTF19aakzash,12.310720044466052,12.708947881604903,14.60191770880641,0.0334054543934008,0.037377934769426295,0.05773270311912071,7823.392518804193,9082.846151773301,12060.578393790638,3.03321175022045,4.035256268633359,4.875648077234736,7.7875017132063515,10.399543970226997,11.466078242030862,2.9351399709011154,3.087306200932514,3.2235828298388487,,,
ZTF18acvgyst,11.524707384917567,12.245073953078055,12.650909065045816,0.05410380589204569,0.10526635368156358,0.13862352596886507,3067.0120262425976,11116.0375404675,13324.304969343259,2.2518097174534475,3.2089007408650616,4.698256556512087,17.302897484110915,17.775930247677998,19.45868185967952,1.9467521668661216,2.8418405416748644,3.1994852574535275,,,
ZTF19aailepg,12.015252724333555,12.551250912605443,12.982011472882247,0.10130707734777544,0.12030237235153143,0.13629902811991593,4823.8489954335,6178.716149936299,7244.117015288233,2.3870614333643005,3.024270690790333,3.6887932030113935,6.96674463876871,7.4155182245020965,11.206866308491707,2.690633815675169,3.009443705675929,3.3361054695664696,-17.11,-17.11,63095734448.01917
ZTF23abaxtlq,10.3033683415362,10.69986288681363,10.979965226806268,0.007590467907276111,0.008519556150471862,0.021543599734526086,8018.6752940440465,10689.768686075873,11735.213636771448,2.9864974247003504,3.251268221019296,3.909259564081569,3.589445033706007,3.6731571212384506,3.945997712761144,2.8076602244084388,3.021384460756834,3.19663650823722,-16.37,-16.37,63095734448.01917
ZTF18adbacau,12.546101832805817,14.419010215836543,16.071704900129628,0.06983099759608694,0.07272493679490084,0.11428049767466286,8394.98087282346,9967.447467699665,11526.14917600204,3.0390662332554363,3.4275336328940247,3.812985934906431,3.987674300205802,6.291304757416505,7.073227798431953,3.2574397239674537,3.8613554040089326,4.541464914091666,,,
ZTF19aauqwna,13.469259387158843,13.893793622173076,14.338066844473163,0.07131507826942803,0.07434210185679493,0.08677836149302132,5006.60981372637,7394.334535136886,9497.104159627972,3.0768290203756425,3.704336947202504,4.010124670379895,15.025180255177919,17.307180048441573,18.954808190530546,3.454589991391443,4.042635938167251,4.150174587406553,,,
ZTF21aapkcmr,11.525757603059398,11.937848571019206,13.532464960249708,0.001438667234762807,0.004553417779480208,0.022640486061225047,10530.079392264643,12122.832699715029,13157.553262882957,2.633835822414142,4.061375005471944,4.495753051354857,14.043876398307319,16.140580742579157,17.09462689534517,2.744527624047832,2.9929755548876864,3.0253544471142564,-17.55,-18.1,63095734448.01917
ZTF18aawgrxz,10.059192430186055,10.814026731680471,11.831499055321467,0.049461973910768404,0.05047947116345659,0.05995397879454401,1538.114843969917,4697.797162136797,11427.553831869182,1.1075457451531496,1.345284709871044,1.9067949265218689,10.376506126089284,11.017285137638156,15.376763134846165,3.5775948046273855,3.974370637472834,4.313141834329617,-16.49,-16.85,63095734448.01917
ZTF21acgrrnl,11.111596788644196,13.894095492201002,16.436530412171816,0.16519900979502058,0.22180387380883038,0.2799579286501279,3747.151432226537,8404.960421707738,12403.487452502903,1.4981182305294596,3.091956282840282,4.486620207955047,5.358162632575163,13.528452716368733,25.064223542331575,1.5248215424723488,2.93841903452552,4.39024028628414,-16.31,-16.31,63095734448.01917
ZTF22abkbjsb,10.657586358219296,10.953576391715822,11.95319323165167,0.018437206645772912,0.021286614849259408,0.028482604643333367,3889.0665938168186,7884.737571983176,10883.228116457676,1.1429068513591298,1.482515274435464,2.2252681991229486,2.7908072265175194,3.5889264971811903,5.527724921573253,1.9925182438127134,2.5515656879028015,2.7443670339866797,-16.3,-16.72,63095734448.01917
ZTF19aclobbu,10.39652998323691,11.554664070455342,12.33379445206848,0.10004441358675896,0.1470361876584464,0.14951662930246612,6495.762394727035,8143.089588627592,8927.288228787718,3.8898661944861015,4.745307001001445,4.891250837453709,9.12358216240854,9.963877317648837,11.928416739718404,1.9750183055627604,2.02582320299342,2.104798268738928,-17.63,-17.63,63095734448.01917
ZTF22aanrsaa,12.301138008897905,14.278765289263472,16.23056119459624,0.0992112231164775,0.1284986967789259,0.1439693876904617,4372.184788647042,7458.836733989111,11380.723456562042,2.2420896498975043,3.3594563761179783,4.352220012575668,12.194754702498335,12.588856118707392,15.235513094339693,1.9441882116282132,2.385075654970928,3.9585193657796682,,,
ZTF22aafsqud,10.591753505245306,11.932214078902094,12.365710178813886,0.001055633597453734,0.0049717776122256245,0.029527140681829628,4061.3765924147497,11087.213213812442,12368.16468843652,3.418382294946979,4.042128513350754,4.827307863978013,2.0252319392910563,3.574643295394643,6.707420640218606,1.9465483114983035,2.628188375071786,2.8012689365261263,-17.0,-17.0,63095734448.01917
ZTF19acbvisk,11.063707290730441,11.522560692067525,12.269683811351765,0.07001872196090751,0.07222862941513888,0.12207661294012963,7572.544892547889,8487.244477271053,11120.469092148458,1.9975965269689837,2.8055890998507853,3.2901546800015837,8.213630710772131,8.5716401021856,10.035033444841682,1.972772056119487,2.055738956337294,2.110453588611005,,,
ZTF19aamhmsx,10.448475494880272,11.876517300157317,12.990131731173491,0.09921311149206669,0.11993438374710254,0.15036130985725701,7124.986019269499,9438.989329881892,11362.499034410614,3.2061677682531196,3.707764032764899,4.356467280380043,17.341786719753745,17.810088004681372,20.380949596210385,1.9688826888075304,2.0972341898177738,2.236543521238234,,,
ZTF22abfavpu,11.415429997378691,14.349747094936546,15.53257728219313,0.03189140087758822,0.03362385055637192,0.035239593750590444,5869.172276866777,7054.875749621146,8340.015904293192,0.5979018310065412,1.0949365449908923,1.5840262536257945,9.374349508051433,10.605040009658273,11.6483575513848,2.5913960148690642,2.956607282030733,3.2117970179375903,-17.1,-17.1,63095734448.01917
ZTF21abfiuqf,9.331099807367,10.49857258160557,12.272823877760464,0.0014642697037756383,0.02083040456123529,0.03722932839840881,3515.5484901552977,6402.0818066642,12129.92621345922,0.9669974370557456,1.7286651641728583,2.368798306457825,6.5160029965301876,12.284090827306663,48.76809746274857,3.0378769011966513,3.690795228238305,4.344610184520032,-16.82,-17.18,63095734448.01917
ZTF24aarvbxj,10.329645462932994,11.726735326117554,12.324473947933223,0.02045657844350019,0.028823225653097074,0.05434398326830253,2677.869015222039,2910.230317107542,3626.7275414784353,1.1775043096094036,1.589498820221208,3.668386304395888,18.626146085279853,20.194959915655854,23.63026196189819,4.335656203005193,4.426525388337316,4.6402958696325225,-17.56,-17.56,63095734448.01917
ZTF20acoxefz,10.034864452446461,10.490961009393725,10.78184851832593,0.05258123505892893,0.05445294505534788,0.06800262586034113,6815.532037504371,7888.645114848622,10229.844053827981,2.709282294929877,3.7870667969530656,4.05573356064937,9.543220903631832,10.706143651519538,11.747251951856983,3.670063441363048,4.1051798795929155,4.172269472009279,,,
ZTF24aaemydm,9.711016283210112,10.168359839720708,10.894968912073558,0.039967823101774144,0.04902965696630013,0.05031692295373741,7480.399751940984,8074.041613797951,8935.414231862529,2.739116028283271,3.333062920177595,3.359339891582528,16.94383807148062,17.21563742673483,21.048143444339885,1.90788608982182,2.0804040139308824,2.2843114387519696,-18.01,-18.01,63095734448.01917
ZTF22abtspsw,9.555578395455369,11.396656617015886,12.796098758382467,0.022814857797303384,0.02482361469389109,0.02854043959031795,7188.904529945219,9273.740409583883,11368.19155086961,1.7395627139914072,2.3709435562196526,2.9553151815155796,11.660248338079894,14.2464837985635,16.84347773675087,3.440113090460219,3.838499835398849,4.2808418606764755,-17.09,-17.09,63095734448.01917
ZTF20acfvprb,11.427035788253352,12.115192440985998,12.406180115114482,0.047500055150151106,0.050857337687465295,0.06,5926.297009055776,10386.030223743948,12189.659107540265,0.9000397465204957,1.7577034322450054,2.486098226645603,7.510916651192909,7.8224877632594,10.319819808893536,2.463775922439161,2.735383713372137,3.0146620474103565,-15.82,-17.46,63095734448.01917
ZTF23aasbvab,10.936850351221008,11.80423948078493,12.448851670135415,0.02116181540591962,0.029940258372284066,0.06645511007474267,5106.735797646276,10287.827067593502,11851.038865716933,1.6292826313173332,2.5302035842784023,3.6424901064006194,2.43122251184093,3.5965605237507625,5.954034343672665,2.249644816086344,2.4406442943169204,2.729726337751734,-16.8,-16.8,63095734448.01917
ZTF22aaevwec,9.906132580246133,11.033330086781334,12.357127705785725,0.03542282128417283,0.04001905144001229,0.047148328006853424,2986.3495011083132,5306.75258432788,10438.941416842887,0.9208636107866408,1.18437787971532,2.3144948173677378,22.49977851296147,22.950344041117575,24.961847078042727,4.3337199332033105,4.4433696914701954,4.856512451260466,-17.43,-17.85,63095734448.01917
ZTF21acfajbc,9.935293402027279,10.771411613397568,11.25899684252184,0.060004717516285846,0.06756776702399353,0.08000892411212816,2876.591484582007,6609.847566050842,8961.481847484542,4.014318553085672,4.361793780769464,4.8918973879408565,23.31957922884791,25.177395299086992,26.62536135621012,3.9244723601162392,4.009097665552633,4.127166013857365,-18.21,-18.21,63095734448.01917
ZTF24aadkwni,9.871734212473632,10.31714251337981,11.912171851301538,0.040118014957992644,0.04582363963967087,0.0477873682040286,7857.897024674897,10613.132272974912,11523.7074637172,2.362542672971066,2.732680799940564,3.253544637639829,17.159438937056198,19.01607482559977,21.63363277486199,2.367348752877902,2.6940148776171666,2.795884142296101,-17.53,-17.95,63095734448.01917
ZTF21abouuat,15.34960011662628,16.651843164953974,17.37696608617177,0.07912296346906868,0.09935961836815056,0.11814315889743977,1699.6222483142176,9189.551025541223,12886.223006969127,3.5830551956040413,4.710872854686939,4.911091949478575,8.462675029337971,9.550990871434431,10.39402736725179,2.4907260770823423,2.788489179278351,3.222232479837699,-17.56,-17.56,63095734448.01917
ZTF18aahfqbc,10.674330993797534,12.048973811770605,12.242125498165601,0.14440015289684272,0.1522985137488584,0.15567932225779607,4915.074006874149,11041.567137260763,11311.321605845986,3.130420768805267,4.383281605329381,4.560407821877541,28.258065292223595,28.669340903946807,29.576980068773384,2.317541923289082,3.0017344717469037,3.0419073508478482,-15.47,-18.14,63095734448.01917
ZTF21abhhrpj,11.525867111031797,15.712253977783869,17.500526852878497,0.06815975037434863,0.07781501530515367,0.10977874771227823,7086.803548612248,11255.138856495425,12738.483227347888,1.963767695468999,2.4305184799169797,3.4276361584574424,8.508749280260652,12.218853924506188,20.451513688670772,2.4603963965918325,2.746329343742966,3.057372956238017,-17.88,-17.88,63095734448.01917
ZTF20actnuls,11.316100565677349,12.058852912602475,12.446792635368345,0.03540638457645908,0.03876103611637716,0.042835076215198165,6864.942626888296,8238.007422776062,9448.998736423715,1.4639991968483936,1.8344781627350697,2.373376498442676,14.540566569567206,15.47044272049549,16.423985710393673,1.8952943490129417,2.0505088868387897,2.441989141978841,-17.28,-17.77,63095734448.01917
ZTF22abnujbv,9.964532013749107,10.573272443136254,12.651432176840517,0.010623163866610255,0.01668377062036213,0.06259487304303821,2165.046042549257,3463.7150620550947,6010.686375170607,3.101621499977178,3.84986952845845,4.361354122009553,3.1676645119318607,3.4760461551610042,6.716606160327922,2.073184960729984,2.6358683767623106,3.86148860673816,-16.42,-16.42,63095734448.01917
ZTF23abbtkrv,15.061260109100827,15.790319017698836,16.223572839146076,0.05262196945817637,0.055783457962841516,0.07052623122167073,5773.690975707256,7521.249682728978,11040.07551371514,2.954512516758248,3.664885912660413,4.036277696229339,2.286022384988283,3.656993190648973,5.571361430681754,1.4906627291528884,1.94819915703762,2.121716446466856,-17.05,-17.05,63095734448.01917
ZTF19aanlekq,10.35413595066969,10.91629610116564,12.369589303410278,0.05180168322555685,0.060398127461063676,0.06812338379454627,7763.62825314595,10407.585132713004,12675.80320580559,2.1080523062705234,2.72687303340528,3.880787137365635,14.27234654525126,15.969973433878742,19.50073930806353,1.6318849940015334,1.9385420921525944,2.172244224769305,,,
ZTF19aaniore,11.58512096743218,12.187777349342237,14.056566993588792,0.07376285546373605,0.08668702260769762,0.11153756599897689,6261.235210284458,8337.595727552918,10744.891821060455,1.2876346006313162,2.821863456269171,4.77708467103107,7.681710051354679,9.318120616150996,11.112323770952584,2.6767960382254397,3.5288822743012838,3.93152218681007,-17.31,-17.31,63095734448.01917
ZTF22aasojye,12.960267823551861,13.1606977242103,13.977279144255185,0.04220354147362445,0.0512023443946013,0.05587755181184945,1646.3141657449196,6003.180094276112,8484.57587047162,3.583336987852301,4.231469135955619,4.759999634474222,2.2285181063347426,4.262823849072404,6.5309956295681175,2.453521730067225,2.823011411388355,3.18350408365428,-16.89,-16.89,63095734448.01917
ZTF20aafckit,9.5262483349109,10.237664641051488,11.502985640635364,0.05041877814177019,0.05210509355341995,0.07650507607026592,10587.020625991525,11409.103837919873,12641.881430064886,2.8967434235035947,3.3981666494306633,3.664678892429574,16.962498765251844,17.18221441402968,19.601970072440768,1.9627956130346973,2.0687939179530415,2.1643828987412883,-18.0,-18.0,63095734448.01917
ZTF21aaagypx,12.516840718967158,14.227753287650033,14.760414556861067,0.10249156420543323,0.12734602381991755,0.14897046610323358,8325.005952228312,11065.56682782069,12066.181909580728,2.82503373125157,3.019716129427956,3.411384014994354,6.553309633567231,6.920516997023357,10.061118879912177,2.136653547493591,2.17926036557628,2.629723863072879,-17.43,-17.43,63095734448.01917
ZTF19acbwejj,10.928930738895279,14.856147331425062,16.41987145746825,0.0668001789208104,0.10038341821297767,0.2175081536218634,3048.02241234727,7256.51973478716,11282.67956117685,2.0580076323783554,3.263203597666781,4.38256378625485,3.216027882467093,6.018154741760563,46.62906323196259,1.3066940317047095,2.4055451781460713,3.8499895176323875,-17.8,-17.8,63095734448.01917
ZTF23aackjhs,9.29332393224332,9.456762906065176,10.686792233713705,0.0013914203909939134,0.005495754385202503,0.011321913486119313,1991.4329396771225,2593.991248602718,4218.353363952794,0.7217966630397197,1.1555501236046295,1.9402637988318099,1.2200821525018977,1.300723337605504,1.6256236133886053,3.1285958379214853,3.655359391232595,4.270919299817268,-14.82,-15.0,44668359215.09635
ZTF21aaeqwov,9.803826127706056,10.397658708739968,12.091164364022319,0.03276621165427442,0.035027042537206274,0.04286510078977285,10701.335506354402,11967.046642674242,13086.170844205177,1.050113021273086,1.62108956100323,2.0811040086932735,5.799455074235978,7.318836048249469,10.749960965321705,3.4680499624451926,3.842985051283382,3.9837886974573826,-16.39,-16.39,63095734448.01917
ZTF19aanhhal,9.845043312651718,14.22310325234469,17.452480715475602,0.0371853538478418,0.11003878061606408,0.21817129773141647,9700.368387904467,11422.721163268616,13621.663332322301,0.7024708142507556,1.7525959042790837,4.313325022793775,6.3762470075734505,15.2670573024585,25.027772041257958,1.04703343301619,3.375817856662682,4.849553341900007,-17.23,-17.23,63095734448.01917
ZTF22aanrqje,9.103153690760386,9.408409412942945,10.45265652698201,0.012557531117107688,0.015999175847300602,0.024692640116962462,4781.858657984307,6237.36147333581,8196.462455091825,1.1603796909054018,2.0942016422216576,2.583363555583408,1.505975804188081,1.6920395748578811,3.254853157184345,2.4697684421166106,2.857533893073652,3.222820777874265,-14.27,-15.18,50582466200.31127
ZTF21aafkwtk,11.932221363602528,12.416459215778696,12.660535362882728,0.02979170991930326,0.032897552626221085,0.04184030590707661,5341.119509931723,7676.311361006848,8441.438167732143,3.117786575170765,3.5122278264946067,3.7458045277115177,6.98110651432092,7.383510892044378,7.559398174267515,2.339398068573533,2.6076835533540423,3.0158889965897404,-16.98,-16.98,63095734448.01917
ZTF24abmkros,9.409006464523232,10.817018274749305,11.491439548945925,0.0025289243653589403,0.0038513539297160555,0.022243292264421056,7370.4356532739075,9055.333112155071,12024.54260390191,2.4303855539273775,2.9809323656912796,3.6002052918765104,1.0080867484814033,1.0715248186823734,1.1766951405146457,3.3794867513831197,3.59955680153729,4.053977533094173,-14.87,,
ZTF22aaolwsd,11.091055185587221,11.7485953454721,12.717502789467648,0.10023997152639141,0.11486593544085218,0.12442088830385309,8624.407072013799,9751.284936742692,13114.414215376913,2.8455431744465227,3.3778802292746106,3.701922276402982,8.201516487785803,10.998846683433712,17.499279422032963,1.3639014868436385,1.502720747173919,2.432431328668062,-18.1,-18.1,63095734448.01917
ZTF24abtczty,10.33254000221892,10.705111046511078,11.228142297611988,0.002299205860885223,0.019661692635127122,0.034603891332440635,3182.7547631321586,3671.3133430302587,4291.378766619036,0.9677792698538606,1.1365302365411731,1.3348496100377476,1.0001994977246642,1.0345835023227867,1.4136393247282888,2.4056756007528284,2.7989808009510098,3.0170521258714325,-14.131803326809418,,
ZTF19abajxet,11.282575431448294,11.932151045912859,12.380423481952036,0.056380192227764456,0.06177613739798232,0.06492326697579603,2880.163279133382,5976.419824554322,9783.274271369197,1.8818653378438719,2.5165854636614764,3.6777003681598757,14.253074182806438,15.885794585708629,16.66238646711972,2.0177289755828087,3.9527805933599565,4.484434678793781,-17.77,-17.77,63095734448.01917
ZTF20acgrvkt,10.208015778410326,11.248031485750131,12.30899800507125,0.03690485404266003,0.04299755783878127,0.05329165906066155,5322.5844908619,9838.98378538625,10987.587320414315,2.6471511308935245,4.14307612282812,4.785034743811449,9.110617645877046,10.485475201528494,11.728000702197685,3.3112800143525747,3.6608524759168795,4.0580917142896356,,,
