sourcename,nimean,nilow,niup,ejmean,ejlow,ejup,radmean,radlow,radup,ekmean,eklow,ekup,etmean,etlow,etup,velmean,vellow,velup,peakr,peakrhost,volumefac
ZTF22abyokkf,0.1685,0.008400000000000019,0.008599999999999997,22.481,1.471,0.6239999999999988,316.3719994250395,2690000000000.0,3170000000000.0,9.676e+51,7.830000000000004e+50,2.3899999999999987e+50,2.301e+51,2.9500000000000016e+50,3.8299999999999985e+50,8500.0,350.0,76.0,-17.22,-17.22,3.3750000000000024e+21
ZTF24aaabbse,0.1851,0.008299999999999974,0.010000000000000009,14.888,0.8369999999999997,0.6579999999999995,999.8562598821331,8350000000000.0,6310000000000.0,3.391e+51,2.239999999999998e+50,2.1200000000000004e+50,1.062e+51,1.2779999999999995e+50,1.2799999999999994e+50,6178.0,251.0,217.0,-17.79,-17.79,3.3750000000000024e+21
ZTF19abqrhvy,0.237,0.13834,0.0068000000000000005,19.223,1.7530000000000001,0.8870000000000005,400.45996837717405,3010000000000.0,10310000000000.0,7.174e+51,2.525e+51,7.739999999999995e+50,4.733e+51,8.659999999999998e+50,5.459999999999998e+50,7909.0,1394.0,233.0,-18.18,-18.18,3.3750000000000024e+21
ZTF18aaszvfn,0.06782,0.0067000000000000046,0.013609999999999997,11.46,1.434000000000001,0.4259999999999984,121.23041540894063,561000000000.0,995000000000.0,2.707e+51,1.9400000000000004e+50,1.7700000000000003e+50,2.276e+51,3.5300000000000007e+50,3.7799999999999994e+50,6421.0,273.0,159.0,-16.77,-16.77,3.3750000000000024e+21
ZTF23aaxadel,0.09866,0.0059999999999999915,0.012639999999999998,15.462,2.3659999999999997,1.019000000000002,160.84519189305735,1877000000000.0,1720000000000.0,4.518e+51,1.2050000000000005e+51,3.3399999999999976e+50,2.995e+51,7.799999999999998e+50,6.130000000000002e+50,6982.0,350.0,131.0,-16.88,-16.88,3.3750000000000024e+21
ZTF22abfwxtr,0.01557,0.00226,0.04382,23.75,6.4559999999999995,1.036999999999999,411.52795745292514,4600000000000.0,6930000000000.0,5.586e+51,2.0139999999999997e+51,3.2100000000000034e+50,1.898e+51,2.729999999999999e+50,3.990000000000002e+50,6246.0,405.0,278.0,-16.96,-16.96,3.3750000000000024e+21
ZTF21aaobkmg,0.01837,0.0013200000000000017,0.0012700000000000003,8.138,0.1280000000000001,0.7910000000000004,298.54822480954437,2650000000000.0,5300000000000.0,8.856e+50,8.319999999999995e+49,1.200000000000011e+49,2.168e+50,4.1100000000000003e+49,4.360000000000002e+49,4250.0,359.0,76.0,-15.34,-15.4,1.7378008287493693e+21
ZTF24aabpzuz,0.09191,0.003040000000000001,0.007339999999999999,14.007,1.5629999999999988,0.5980000000000008,512.3616501365531,9255000000000.0,6845000000000.0,6.005e+51,9.78599999999998e+50,3.7200000000000105e+50,6.394e+50,1.1749999999999997e+50,1.330000000000001e+50,8481.0,396.0,163.0,-16.7,-16.7,3.3750000000000024e+21
ZTF19aawgxdn,0.1194,0.006100000000000008,0.008599999999999997,22.464,2.2089999999999996,0.5003599999999864,134.0664079344545,1524000000000.0,1223000000000.0,9.404e+51,9.010000000000002e+50,4.960000000000001e+50,7.88e+51,8.41e+50,1.1300000000000009e+51,8479.0,429.36,94.0,-17.39,-17.39,3.3750000000000024e+21
ZTF19aarykkb,0.008045,0.00022699999999999977,0.002515,14.046,0.9399999999999995,0.4300000000000015,764.6974270518901,6100000000000.0,2210000000000.0,3.374e+51,2.940000000000005e+50,1.4999999999999987e+50,3.974e+51,1.5099999999999952e+50,4.950000000000004e+50,6345.0,238.0,117.0,-18.17,-18.17,3.3750000000000024e+21
